Year,Usage (Million Units - MU),Data Source
2000,"7,120",MERC Historical Sales Data
2001,"7,245",BEST/Tata Annual Accounts
2002,"7,380",MERC Case No. Records
2003,"7,510",MERC Tariff Order
2004,"7,650",MERC Tariff Order
2005,"7,800",ESR Energy Section
2006,"8,020",ESR Energy Section
2007,"8,240",ESR Energy Section
2008,"8,460",MERC Multi-Year Tariff
2009,"8,700",MERC Multi-Year Tariff
2010,"8,950",ESR (BMC)
2011,"9,210",ESR (BMC)
2012,"9,450",MERC Annual Review
2013,"9,720",MERC Annual Review
2014,"9,980",ESR (BMC)
2015,"10,240",ESR (BMC)
2016,"10,510",ESR (BMC)
2017,"10,800",ESR (BMC)
2018,"11,150",Adani Electricity/BEST Filings
2019,"11,480",Adani Electricity/BEST Filings
2020,"10,850",Pandemic Impact Analysis (MERC)
2021,"11,200",Post-Pandemic Recovery Report
2022,"11,850",MERC Case No. 217 of 2024
2023,"12,400",MERC Case No. 217 of 2024
2024,"12,950",MERC Order (Provisional)
2025,"13,420",MERC MYT Order 2025-26 (Estimate)
