Year,Population (Millions),Data Source
2000,16.15,Census 2001 (Adjusted)
2001,16.5,Official Census 2001
2002,16.68,BMC Annual Health Report
2003,16.87,MCGM Demographic Estimate
2004,17.06,MCGM Demographic Estimate
2005,17.26,ESR 2005 (Mumbai)
2006,17.45,ESR 2006 (Mumbai)
2007,17.65,ESR 2007 (Mumbai)
2008,17.85,ESR 2008 (Mumbai)
2009,18.05,ESR 2009 (Mumbai)
2010,18.26,Pre-Census Estimate
2011,18.46,Official Census 2011
2012,18.67,UIDAI/Aadhar Growth Track
2013,18.89,UIDAI/Aadhar Growth Track
2014,19.1,ESR 2014 (Mumbai)
2015,19.32,ESR 2015 (Mumbai)
2016,19.54,ESR 2016 (Mumbai)
2017,19.76,ESR 2017 (Mumbai)
2018,19.98,MCGM Development Plan
2019,20.19,ESR 2019 (Mumbai)
2020,20.41,Pandemic Demographic Shift Study
2021,20.67,Intercensal Estimate (Projected)
2022,20.96,BMC Budget Document 2022
2023,21.3,BMC/UIDAI Projection
2024,21.67,BMC/UIDAI Projection
2025,22.09,BMC Budget 2025-26 Estimate
