Year,Waste (Metric Tons/Day),Data Source
2000,"5,500",MPCB Historical Inventory
2001,"5,650",BMC SWM Annual Report
2002,"5,800",BMC SWM Annual Report
2003,"6,000",ESR 2003
2004,"6,250",ESR 2004
2005,"6,500",ESR 2005
2006,"6,700",ESR 2006
2007,"6,900",ESR 2007
2008,"7,150",ESR 2008
2009,"7,400",ESR 2009
2010,"7,600",ESR 2010
2011,"7,800",Swachh Bharat Baseline
2012,"8,100",MPCB Waste Statistics
2013,"8,400",ESR 2013
2014,"8,800",ESR 2014
2015,"9,200",ESR 2015
2016,"9,500",BMC SWM Report
2017,"9,400",BMC SWM Report
2018,"7,200",Mandatory Segregation Policy Start
2019,"6,800",ESR 2019 (Decentralized SWM)
2020,"6,100",Pandemic Reduction Report
2021,"6,385",MPCB Monthly Progress Report
2022,"6,450",ESR 2022
2023,"6,597",RTI Data (Praja Foundation)
2024,"6,656",RTI Data (Praja Foundation)
2025,"6,780",BMC Budget 2025 Projection
