Year,Consumption (MLD),Sewage (MLD),Data Source
2000,"2,950","1,975",ESR 2000 / BMC Hydraulic Dept
2001,"2,985","2,190",ESR 2001 / BMC Hydraulic Dept
2002,"3,010","2,265",ESR 2002
2003,"3,050","2,350",ESR 2003
2004,"3,100","2,410",ESR 2004
2005,"3,150","2,480",ESR 2005 (Post-Flood Report)
2006,"3,220","2,535",BMC MSDP Progress Report
2007,"3,280","2,630",BMC MSDP Progress Report
2008,"3,340","2,690",ESR 2008
2009,"3,380","2,735",ESR 2009
2010,"3,420","2,820",ESR 2010
2011,"3,450","2,880",Census 2011 Demand Report
2012,"3,500","3,000",ESR 2012
2013,"3,550","3,010",ESR 2013
2014,"3,600","3,080",ESR 2014
2015,"3,650","3,175",ESR 2015
2016,"3,700","3,220",ESR 2016
2017,"3,750","3,290",ESR 2017
2018,"3,800","3,380",ESR 2018
2019,"3,850","3,420",ESR 2019
2020,"3,820","3,380",ESR 2020 (Pandemic Use)
2021,"3,880","3,450",ESR 2021
2022,"3,920","3,510",BMC Budget 2022 (Actuals)
2023,"3,950","3,600",BMC Budget 2023 (Actuals)
2024,"3,980","3,640",BMC Budget 2024 (Revised)
2025,"4,010","3,710",BMC Budget 2025 (Estimates)
